Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Industrial Energy Use (%),Household Energy Use (%),Carbon Emissions (Million Tons),Energy Price Index (USD/kWh),Cluster,PC1,PC2
China,2012,452.73,34886.27,31.67,26.79,20.1,28.56,4480.5,0.36,1,-0.4680353465939869,0.9021654313442342
Brazil,2002,9362.99,11935.8,61.88,54.17,49.28,30.54,4016.2,0.37,2,1.2657494647021963,-0.34141722677859876
USA,2021,5902.59,42979.05,22.22,39.04,55.11,23.68,2353.09,0.33,1,0.24435745946485277,1.3941643867015066
UK,2007,3051.62,23585.02,80.45,58.49,39.37,15.76,2506.75,0.2,2,-1.3497299429022893,-0.9855437319969729
Australia,2008,1576.44,26766.46,29.52,44.51,38.19,37.29,4355.81,0.42,1,-0.09318529311710476,0.9141125351338919
Japan,2021,8312.28,37819.86,33.15,31.6,52.22,32.21,2488.99,0.4,1,0.8788427935207924,1.4749711882478593
USA,2020,8381.55,39081.82,23.53,20.21,55.39,26.79,3412.93,0.25,0,1.2301357942615316,0.728765634848156
UK,2011,8163.63,32311.22,26.57,33.88,58.98,23.45,4056.05,0.24,0,1.264030713347392,0.23876243432509814
India,2010,6486.32,46952.37,11.3,54.44,33.83,24.98,4544.01,0.05,0,0.47454509836682107,-0.23745415141737117
Canada,2001,3723.55,49123.77,30.06,61.83,43.79,34.71,1129.91,0.43,0,-0.9901726485103317,2.1401362762987057
Germany,2017,3110.3,47370.83,78.07,21.22,52.92,10.38,4878.06,0.18,0,-1.2169302016371801,-0.299566293401661
Japan,2008,184.69,41296.87,63.52,56.5,41.27,35.96,4828.4,0.26,2,-1.7442558153308712,-0.024265873772166914
India,2001,8352.71,35428.45,79.4,22.55,38.47,11.4,1521.91,0.24,0,-0.19128581916003554,-0.005516772589604202
Brazil,2001,965.58,33334.63,13.91,25.53,42.88,28.48,3087.95,0.36,1,-0.13779705106867862,1.2597155045363986
India,2002,6344.47,5635.63,43.73,47.19,34.27,19.99,282.24,0.23,0,0.5163175553978001,-0.6683830923789863
Canada,2015,5090.34,13938.48,24.49,30.24,27.68,30.35,880.75,0.13,1,0.5991991840638223,-0.6736209087347497
Brazil,2018,5314.22,781.57,66.3,56.31,22.67,12.57,2939.9,0.44,2,0.42501872569684024,-0.31794224058193515
Japan,2003,9274.46,7301.79,87.47,76.9,44.4,26.69,3268.03,0.13,0,0.29619944387597014,-2.2424441806389734
Canada,2022,412.99,22241.86,74.31,20.42,35.17,35.66,2696.28,0.06,0,-1.4337924588228088,-1.6331236120244326
China,2024,7756.58,7753.56,8.0,49.94,55.32,24.84,3538.37,0.14,0,1.969032459935323,-1.018972790680469
Germany,2017,615.32,45132.34,31.92,74.63,28.92,12.53,3974.81,0.25,0,-1.4371748176761006,0.5230903854413049
Japan,2019,477.72,40382.11,7.43,22.36,32.43,11.12,883.87,0.24,1,-0.7326393731334384,1.2048993978588576
China,2024,4355.2,4044.79,8.41,35.68,58.82,28.64,3315.11,0.41,2,1.6024006706598481,0.45401050983709557
UK,2017,724.44,12821.23,11.76,18.65,42.25,12.09,2834.86,0.14,0,0.347846457166627,-0.6923479830027159
Japan,2009,7912.53,41044.06,28.49,54.94,33.87,12.14,632.05,0.4,0,0.22778927569375654,1.7879784696468326
UK,2010,5342.67,40250.78,30.86,56.84,54.44,22.76,1181.59,0.09,0,-0.5455121024380148,-0.13524642136399834
Brazil,2016,387.48,47299.8,39.04,56.49,49.74,16.29,2127.36,0.26,0,-1.7963048408810718,0.8629372608075311
China,2023,500.96,49878.61,39.42,47.95,42.93,16.13,4325.6,0.44,1,-1.2759347963796688,1.756665609134551
Germany,2024,6165.42,48825.37,70.57,62.24,55.56,24.43,1124.28,0.24,1,-1.4181979742946478,0.499424644805461
Canada,2022,8080.51,20801.83,17.02,12.51,23.76,18.42,955.47,0.48,1,1.7009152542852022,1.7692133812548478
Russia,2023,4434.22,12891.26,18.41,77.03,35.78,16.58,3618.71,0.33,0,0.6740554917654035,-0.010082224447273823
India,2019,5590.35,38041.3,58.26,25.55,52.42,25.43,4880.18,0.39,2,0.15881754413584775,0.8103740423874901
USA,2015,8018.31,15314.01,53.6,18.51,35.44,18.73,2264.28,0.28,1,1.0780434931989686,-0.26420772716681784
Germany,2019,6144.01,40416.82,18.09,75.88,57.07,12.41,1783.18,0.24,0,-0.10186138526662997,0.7562690853273295
China,2012,2325.13,26930.76,77.44,68.13,26.1,30.48,1307.01,0.09,0,-1.93455497664549,-1.3454059843191533
Russia,2001,6169.22,39799.4,32.97,63.54,33.47,27.57,296.22,0.1,0,-0.5967557369560045,-0.040718298203138346
Germany,2023,6319.97,14156.05,36.19,17.33,37.03,16.36,933.15,0.31,1,0.9091271957923797,0.2589468547631847
China,2001,7367.66,25647.35,40.74,66.53,47.48,27.47,512.4,0.33,0,0.10715129225676691,0.6014937541888681
Australia,2024,6246.65,28419.18,32.43,52.63,27.81,38.67,2495.8,0.49,0,0.5316570249208159,1.5487798743316858
Australia,2013,9695.5,47183.85,52.38,61.23,20.39,38.69,4892.08,0.44,0,0.5965148960457495,1.3922497180022315
UK,2003,2053.15,13696.58,38.04,78.46,59.06,25.96,3947.64,0.43,2,-0.2073315363201223,0.2723609779564761
Germany,2016,9515.8,46866.07,27.05,23.61,55.95,12.94,3028.37,0.18,1,1.0328056762293116,0.6122982875505828
Australia,2012,5429.56,40340.52,81.88,45.31,32.01,23.75,2458.86,0.24,2,-1.1679655923373766,-0.0708623350292061
China,2003,6752.37,36679.26,31.21,62.73,39.34,10.81,3105.05,0.1,0,0.13315764232448904,-0.4693869747435976
UK,2002,1084.67,39450.08,64.37,40.36,39.56,22.46,1911.33,0.31,1,-1.7561883008206456,0.6031941785193714
China,2011,3867.7,30468.54,34.51,13.83,54.77,37.28,933.01,0.08,0,-0.2377241284267801,-0.4128751105716492
UK,2021,7716.85,12581.96,41.99,17.8,43.88,24.02,2969.38,0.25,2,1.4376584485331152,-0.4659680471528473
Germany,2022,7098.42,9880.0,25.06,52.15,53.06,26.51,2664.11,0.3,0,1.3393684586603707,-0.15853754690076627
Russia,2007,497.38,43383.9,68.95,29.95,56.48,14.74,4725.46,0.15,0,-1.6499131803606684,-0.5267295599359586
Canada,2001,5511.28,36394.4,67.66,19.65,42.64,10.47,3266.67,0.4,2,-0.1978582902595523,0.8967877704256966
Japan,2005,973.95,11053.61,6.89,33.79,31.42,39.8,3878.48,0.35,1,0.7126478474273179,0.3228664595407731
Russia,2021,9958.98,30947.12,10.12,24.07,39.95,20.15,508.87,0.12,0,1.517165796138727,0.19868215067108952
Brazil,2009,8983.24,22653.55,83.4,11.68,54.03,18.38,3816.64,0.49,2,0.9253506490498805,0.6577148090154945
China,2011,308.7,8353.43,80.55,20.63,43.34,27.14,4915.1,0.29,1,-0.6506776033319246,-1.1962033883004173
Brazil,2020,8600.63,26826.93,48.02,71.82,55.83,32.36,3304.6,0.06,0,0.40228199617957255,-1.3543263106617747
Russia,2009,9202.35,14435.2,46.94,10.84,55.82,17.54,3723.31,0.21,2,1.7907671603162914,-0.7488324192708584
UK,2009,3600.13,5264.08,74.06,64.17,34.93,25.72,4898.63,0.49,2,-0.004555601426918384,-0.24244822164706584
Japan,2022,7223.07,23614.44,16.77,62.74,37.92,19.98,1986.81,0.46,0,1.0174174397334586,1.4309280553805042
Japan,2002,4476.83,29710.37,60.56,49.5,47.12,24.43,4129.68,0.12,2,-0.47740365594569484,-1.0958601191091155
USA,2019,6586.8,2821.87,45.46,24.59,24.44,14.84,2028.48,0.43,2,1.2976408685750522,0.22981603644600276
Japan,2009,3469.14,20403.59,68.18,71.46,38.62,25.3,2158.3,0.33,2,-1.005185838074323,-0.20416936242133335
Canada,2008,3293.34,13254.27,7.56,43.26,25.98,11.42,3308.3,0.06,0,0.7624826076984033,-1.2252863573482902
Japan,2019,4301.9,2017.2,55.38,22.12,53.92,35.2,1319.27,0.39,1,0.468021662195373,-0.07757639984598919
Russia,2018,1541.12,6720.3,52.32,40.03,57.71,28.83,4964.27,0.24,1,0.038101127478263504,-1.2424683061063584
USA,2013,8328.28,7382.19,76.47,23.64,25.66,38.24,1679.7,0.23,2,0.7156337770394355,-1.1107763990273412
Russia,2001,3552.11,9552.28,62.53,36.32,46.69,27.99,658.11,0.22,2,-0.470181530854083,-0.8440034073015306
Russia,2004,4061.48,40267.19,79.81,44.77,45.46,15.46,1646.64,0.32,1,-1.5060147858770214,0.5079353675347624
India,2019,8951.14,22254.85,80.42,35.19,50.4,24.52,4287.03,0.37,2,0.7219295921891696,-0.15797929535326363
USA,2007,5016.58,7780.76,39.69,55.99,47.83,29.94,1603.94,0.34,0,0.42577563679253094,-0.10299765592608695
Russia,2006,5488.11,5464.7,16.68,75.51,28.69,21.23,3076.21,0.16,0,0.9850325334462129,-1.166607178970279
India,2005,9569.33,15248.05,58.57,34.37,31.65,26.58,4679.84,0.37,2,1.6117756467716755,-0.16929711633260072
India,2010,8878.59,40001.77,79.27,34.9,26.61,14.88,1336.83,0.11,0,-0.4651536050011051,-0.6013450865297735
USA,2011,1777.72,18540.76,11.37,61.68,56.85,33.31,700.26,0.49,1,-0.14741320949093464,1.6219870845822089
Brazil,2017,4784.83,8414.92,52.42,47.14,40.87,37.29,529.4,0.26,2,-0.049625108512081684,-0.5446954435888992
UK,2018,9715.83,20503.75,14.77,40.02,59.05,19.45,2229.82,0.09,0,1.7565700362611576,-0.7069203970785402
Canada,2009,3786.43,27987.92,7.29,66.97,37.97,33.8,566.22,0.31,0,-0.0908147302219364,1.0066664494864528
UK,2024,3778.57,1964.42,62.77,72.37,42.11,12.76,2296.35,0.31,2,-0.2660886885130247,-0.9641930819897524
Japan,2024,2030.8,31568.27,62.96,51.34,51.57,17.4,4320.45,0.07,2,-1.174141602704168,-1.3847485388682392
Canada,2020,1231.8,20057.49,56.06,22.96,51.89,23.86,3898.54,0.05,0,-0.632554549878819,-1.6784782974430454
Japan,2013,7429.02,981.43,78.03,42.64,29.25,21.59,2929.42,0.5,2,0.8516450614187964,-0.059935320918469794
Russia,2002,7723.3,33857.53,11.87,45.31,31.53,28.59,4259.59,0.23,0,1.326303876602139,0.3662547238442159
China,2017,9693.23,35763.19,13.95,40.25,23.91,26.89,546.34,0.16,0,1.0842222713530507,0.4868918633788409
USA,2023,7756.84,31627.57,78.49,28.37,52.22,12.62,3066.62,0.3,2,0.03325128166614868,-0.006570674360644566
Canada,2014,2509.19,17425.55,47.78,43.06,51.75,13.95,622.42,0.05,1,-0.8373037307545809,-1.3469871501573178
Canada,2005,497.15,26715.44,28.21,41.26,23.25,11.55,2436.59,0.06,0,-0.8450957405646742,-0.8919805589452304
Russia,2009,9855.83,19664.31,67.74,24.66,30.3,38.58,2344.14,0.1,2,0.8871117249644859,-1.3499774162444205
Brazil,2011,3470.46,35180.78,81.02,73.24,37.99,29.36,1362.52,0.41,1,-1.8135546951645687,0.729832445487266
India,2006,3188.52,29387.22,63.62,71.97,41.67,35.67,4157.78,0.16,2,-1.0468843761951367,-1.0208468580226222
Russia,2016,9068.96,4549.06,72.31,63.17,40.9,26.24,1179.73,0.28,0,0.5749194394498671,-0.9737156140980755
Australia,2000,5892.49,32333.13,29.01,38.07,59.32,15.82,2781.88,0.15,0,0.36999053324463654,-0.18127220313279097
India,2017,2227.22,34518.3,29.55,35.92,50.57,28.8,2437.19,0.3,1,-0.4779351505965339,0.7899244933700553
USA,2014,8902.05,18849.76,78.45,60.15,24.53,25.16,2186.68,0.28,0,0.17247499576131126,-0.6245204702286589
India,2018,9934.27,43851.4,57.26,52.57,31.74,22.25,216.03,0.23,1,-0.1628944600928606,0.5982309909821596
Brazil,2000,958.12,42229.21,24.9,52.04,33.82,21.15,3498.83,0.24,0,-0.9546091722687725,0.6022167871423216
India,2004,8636.29,9170.74,49.55,18.69,32.61,29.5,112.79,0.34,1,1.183825962640981,0.16345857004846703
USA,2014,3966.11,45261.18,63.3,53.28,51.44,28.53,4111.71,0.43,2,-0.9448208020342764,1.2182130988885906
Brazil,2002,5288.32,22323.18,23.58,73.13,34.42,14.55,1368.65,0.19,0,0.05644556641109742,-0.23313040631924445
UK,2000,9156.68,36325.61,60.67,16.01,39.7,34.49,644.03,0.29,0,0.33090953140031576,0.7051368020120348
Canada,2007,9736.45,40797.8,8.58,33.74,41.34,29.08,2114.35,0.43,1,1.5760802781093914,2.1351709454320136
Canada,2011,2695.42,25503.06,30.81,45.63,30.82,26.07,2818.83,0.13,0,-0.2930223572709021,-0.6274870002555798
Japan,2021,2207.22,20255.55,62.29,58.02,32.91,32.47,1586.3,0.49,1,-0.9957742988232771,0.9062166611407025
UK,2024,897.11,45814.84,17.69,16.27,51.2,14.61,652.83,0.39,1,-0.8794146543225326,2.1860803631508334
UK,2018,5661.8,11927.25,23.89,71.1,54.67,37.59,140.72,0.21,0,0.28692271316834567,-0.3587900458198604
India,2024,234.68,13220.02,79.72,12.84,21.48,18.12,3533.88,0.22,2,-0.9837409169542193,-1.2028033191551273
Canada,2024,4177.79,18400.21,62.32,70.04,44.21,17.88,4437.86,0.14,2,-0.4077257198992639,-1.5567323761434448
USA,2011,826.5,43043.56,47.41,11.94,45.34,34.45,547.58,0.17,1,-1.568888605761172,0.44741211509405043
Germany,2012,4111.74,46970.02,22.93,20.75,49.49,20.02,1191.64,0.31,1,-0.30309408881346256,1.6296077335067367
Germany,2000,495.33,11393.35,34.02,66.02,47.75,34.92,150.13,0.05,1,-1.1607409821667496,-1.4341173058784877
Brazil,2018,8368.65,43261.57,53.82,70.21,55.1,19.84,4431.08,0.06,0,-0.06852307856165828,-0.9400523718120298
Canada,2005,2176.42,13281.05,18.2,78.76,23.14,26.52,2251.46,0.49,1,0.019253088809122902,1.073865675845208
Canada,2007,3350.26,48546.74,45.95,18.1,35.53,16.93,4629.72,0.16,0,-0.5353800234051463,0.1096437656496814
Germany,2003,8713.48,30071.69,39.76,46.85,51.28,31.95,2367.09,0.42,1,0.8892578328841264,1.1599354228816348
Canada,2004,7488.03,850.78,45.52,15.4,53.86,15.01,4317.81,0.33,2,1.9653951209822191,-0.6546156909806174
India,2024,2268.48,2189.43,13.97,20.95,30.59,36.98,4761.19,0.25,1,1.3424710377256344,-0.7315928515116636
Australia,2021,811.8,7800.48,14.05,22.21,43.41,21.15,1709.0,0.38,1,0.4200960252385439,0.5835039863024409
China,2006,7185.17,9784.87,86.95,14.44,27.23,24.15,3221.52,0.07,2,0.3949503485267537,-2.2320193900234826
UK,2022,3967.96,38497.15,88.25,72.51,54.04,10.72,3348.78,0.39,2,-1.6362891359871061,0.40769727998582317
Japan,2003,7684.19,11526.91,41.22,18.84,49.22,39.27,155.97,0.44,1,1.146664915811093,0.9292578053227688
Brazil,2019,4508.42,48472.51,72.06,54.05,28.88,34.4,2219.23,0.18,0,-1.5960077880892174,0.01649454824850258
Australia,2003,3525.42,31987.55,60.74,53.8,44.95,23.41,4283.87,0.19,2,-0.7421987419730715,-0.6507676372575157
Germany,2014,4566.93,34779.62,14.94,23.91,40.37,37.61,4734.11,0.1,0,0.7269813119593107,-0.36769788969946615
UK,2020,7510.73,11281.92,30.22,79.89,30.35,37.93,4501.14,0.44,0,1.3718550584964126,0.2928763736468533
Canada,2004,9031.98,44688.96,31.66,34.32,55.72,25.99,4865.84,0.41,2,1.2317748874359493,1.5172727256667988
Japan,2023,592.7,33556.82,55.64,73.36,25.91,17.02,3282.56,0.24,2,-1.7023393890257765,-0.2060975342671902
Canada,2008,5288.7,43288.08,54.3,76.38,38.7,24.61,1202.36,0.22,0,-1.2677843026197082,0.32450921028713536
USA,2001,425.07,47845.81,83.5,76.43,43.31,19.74,2898.14,0.24,2,-2.8585340532845973,-0.008424865120124731
USA,2006,4737.25,6719.23,72.15,62.7,52.94,23.44,2134.66,0.24,2,-0.35550782149562254,-1.2491921931100272
Japan,2016,8864.3,5281.07,77.83,27.77,26.01,37.34,1330.33,0.24,2,0.7783310137043357,-1.1241385060954565
Japan,2015,3679.74,40268.69,80.75,18.45,44.37,18.46,3875.29,0.12,2,-1.1031074640690117,-0.814297400125578
Germany,2016,9331.26,43373.24,73.11,49.89,20.26,35.17,3164.53,0.06,0,-0.237937826043516,-0.9571307279381012
Japan,2019,6343.02,29396.19,33.29,35.2,52.9,38.06,3961.02,0.39,2,0.8661251501588759,0.8955823076374967
India,2022,9348.14,18617.03,23.28,68.17,29.39,34.15,1383.98,0.2,0,1.1762775402843357,-0.27783702330960236
Canada,2001,7595.95,32805.17,53.6,62.15,48.84,25.82,4524.23,0.27,0,0.3274158450574244,-0.11162043945189157
Australia,2010,1124.01,15630.37,63.61,29.35,44.08,26.92,1231.63,0.19,1,-1.0874420359861972,-0.8504399291746817
Russia,2001,2388.4,12300.09,37.86,11.19,22.01,34.59,3029.52,0.22,1,0.36569830244153045,-0.5939122681508477
Japan,2000,4002.29,24663.19,77.11,26.61,27.33,11.34,331.63,0.08,2,-1.1752658003681211,-1.1896825630779073
Brazil,2001,1784.06,11199.61,86.65,49.7,30.71,32.08,2727.77,0.22,2,-1.2531295043841644,-1.4206361409557309
USA,2022,4999.62,24443.33,53.4,15.53,55.47,25.87,538.68,0.26,1,-0.14995136261156036,0.17922700427031363
India,2008,4766.54,47852.02,43.81,56.08,39.23,21.91,1694.46,0.42,0,-0.8545257214671441,1.8075432098792656
UK,2021,9566.97,42069.31,76.65,57.02,56.54,33.01,4310.41,0.19,0,-0.020156656236934332,-0.47644646766247767
Russia,2001,4393.91,47110.73,7.06,21.86,21.9,17.99,4472.96,0.09,0,0.4564261752014574,0.18894150256161582
Australia,2014,7877.71,40413.28,15.97,51.74,20.26,36.87,3848.13,0.39,1,1.0538190273516135,1.5003888952963211
Russia,2009,9424.91,18060.17,76.88,52.49,57.93,30.65,1870.13,0.22,2,0.3413048151089338,-0.9053260065485245
Japan,2014,8782.19,40696.24,67.22,43.46,48.96,28.3,2914.68,0.46,0,0.1578735466714642,1.3678776504966597
Germany,2009,2165.81,46184.33,40.37,76.73,51.33,25.69,1158.7,0.48,1,-1.6053850421729203,2.10474827225498
USA,2024,5010.7,47378.27,80.55,17.57,56.63,16.38,3407.83,0.44,2,-0.8428116267603954,1.3574374500915274
USA,2022,3542.62,34318.29,34.87,38.46,59.38,28.51,1769.64,0.15,0,-0.5247950176879717,-0.07385380642385733
UK,2016,4058.6,10962.65,58.88,71.8,23.91,31.75,1143.94,0.16,2,-0.6773440024605608,-1.2868615644317947
Germany,2008,3671.99,2466.59,58.92,37.04,26.33,10.35,2945.6,0.41,1,0.34573356468976163,-0.25420360380268947
Canada,2017,8280.96,7786.41,20.67,39.72,27.54,20.99,603.42,0.25,0,1.5372043286833599,-0.1601514061939203
China,2003,4576.18,48294.57,29.21,56.78,52.74,34.97,3449.16,0.18,0,-0.49715910259002793,0.4309741834700677
India,2008,5284.57,23373.79,82.86,56.59,34.22,28.97,975.68,0.18,0,-1.1202828414635122,-0.9390173709250603
USA,2015,9826.23,42821.81,20.59,11.6,43.73,28.46,2789.6,0.31,1,1.5511301722894797,1.3707313645775672
Brazil,2003,693.79,23519.69,19.75,41.9,54.21,16.86,1992.92,0.45,1,-0.32426170282027666,1.388339111045448
USA,2015,4930.78,33210.47,45.77,33.35,47.33,28.96,2852.91,0.33,1,-0.0412128003039527,0.6632731654557047
Russia,2018,7763.21,1694.97,12.84,53.94,22.62,33.58,1267.51,0.33,0,1.7736515178101586,0.03277990650716281
USA,2000,1596.5,12868.31,81.04,48.9,37.83,22.05,1586.43,0.39,1,-1.282115176070366,-0.1664269864380538
USA,2022,6154.16,22095.33,13.51,55.56,22.7,15.46,744.59,0.39,0,0.7141843935836284,1.1917586064396568
China,2005,2470.7,31716.24,57.41,55.76,39.15,12.32,3895.98,0.46,2,-0.7984834675107718,0.9661428391681982
China,2009,8687.3,8990.3,33.88,27.84,28.77,25.17,397.05,0.12,1,1.3203864550276128,-0.9633777891919821
Australia,2015,3338.29,38345.3,73.36,27.25,20.05,30.52,1913.35,0.49,2,-1.1185520717623736,1.5333012516791418
Canada,2003,3357.72,18538.03,55.13,35.92,52.53,14.88,2273.03,0.2,0,-0.37673854795412637,-0.7118818727945672
Brazil,2021,6022.12,40963.05,38.01,26.94,58.78,22.64,1016.27,0.18,0,-0.191471941648475,0.4557004419455914
USA,2021,1917.27,5349.47,88.63,57.8,58.57,27.06,1954.87,0.28,1,-1.2607798128527723,-1.264702982213962
USA,2012,2920.4,34147.95,10.63,52.2,31.97,14.68,2119.54,0.17,0,-0.23101782323328046,0.26189142828261935
India,2015,4224.66,15019.75,54.11,25.15,53.15,18.1,1160.44,0.15,1,-0.14523271641151891,-0.9359683310731666
China,2019,3601.01,39871.47,89.11,71.89,47.15,28.25,3214.32,0.49,2,-1.7239915490183886,1.0386149757289491
Brazil,2005,5296.28,20407.44,63.73,42.25,52.0,31.75,202.73,0.1,2,-0.6453161036359045,-1.098431050312313
UK,2010,6036.44,33434.81,67.88,18.89,53.85,29.08,1027.95,0.5,2,-0.2749762821891725,1.6306158980361143
Australia,2023,5710.01,46748.11,7.73,24.91,59.21,31.41,3139.17,0.33,1,0.678450795350683,1.6955829738542947
Canada,2002,6576.27,1521.02,6.82,47.79,26.07,27.45,3156.26,0.48,0,2.1142875347989363,0.7594191754291212
Germany,2019,3146.72,1050.28,8.07,33.69,50.79,35.07,1363.05,0.45,1,1.1552913663096895,0.8137474721535022
Canada,2009,1351.62,38628.82,89.3,69.59,49.37,34.8,3431.09,0.34,2,-2.256341608105911,0.10355090411204713
Russia,2000,7631.99,32496.46,88.26,44.63,31.51,33.89,2375.45,0.32,2,-0.5076080947341453,0.025116578792146384
USA,2019,8522.73,15002.5,33.43,74.07,35.7,27.26,2659.87,0.5,0,1.234735807821023,0.9849290426905194
Australia,2010,2644.36,24972.64,29.73,17.13,27.07,39.82,1696.42,0.28,1,-0.023358679149987502,0.47889618065061124
Russia,2011,4130.21,2575.82,17.41,56.8,56.53,11.17,4922.15,0.13,0,1.2289028306149792,-1.6101203736299272
Brazil,2013,5035.84,10026.06,32.98,72.0,55.17,15.87,3700.07,0.5,0,0.7807727892551214,0.6710678922682551
Germany,2024,5379.94,21512.57,36.46,30.51,44.56,34.27,1279.73,0.2,1,0.29583844531791165,-0.19561278555250286
China,2007,6628.95,41785.2,68.6,19.5,40.47,34.79,1220.99,0.09,2,-0.6734243455594048,-0.43550507888295426
Australia,2010,511.87,24243.53,78.63,41.97,29.32,34.56,3882.16,0.37,2,-1.388956974305059,-0.07045485424958924
Australia,2003,7242.62,29524.94,68.47,77.29,51.58,36.18,1970.65,0.25,0,-0.5673450712429641,-0.30674605478167183
USA,2006,713.51,43750.81,59.95,54.34,20.33,22.68,502.98,0.22,1,-2.3256282945698388,0.4221725683490615
Japan,2009,4736.06,15786.54,70.1,55.08,38.51,37.96,226.22,0.33,1,-0.7452377148695148,-0.0995755950679095
Australia,2018,8293.94,35184.62,67.77,57.01,54.42,16.28,2099.08,0.07,0,-0.362341205896106,-1.0424548881839883
India,2024,4567.03,43152.53,45.44,12.78,44.74,38.11,2102.8,0.36,1,-0.28855307522287976,1.390357294507337
Germany,2003,1575.99,10529.48,33.55,41.2,45.4,26.7,3548.94,0.28,1,0.11595036180230936,-0.44769409409002786
Germany,2001,9851.84,18145.67,29.04,15.43,22.83,14.92,2895.12,0.27,2,2.066355570433232,0.06242831138180239
India,2020,8903.93,49000.6,62.75,32.11,31.47,32.08,3862.09,0.46,2,0.3106605297152653,1.6758651281926928
UK,2017,7736.0,49169.32,86.54,67.51,46.95,18.88,1622.87,0.42,1,-1.2539983317699914,1.251856517426824
India,2013,4173.96,11549.88,54.39,55.94,21.98,16.61,3140.04,0.29,2,0.019682927289432307,-0.6347876885868085
India,2015,1920.07,3789.07,82.56,79.69,33.24,15.16,4434.23,0.31,2,-0.9049035449615462,-1.459201559078052
Germany,2021,9419.97,13910.62,6.21,22.05,34.16,10.88,392.97,0.41,1,2.19946675641752,1.287461566934358
Canada,2010,5370.28,20187.73,72.53,37.79,39.95,32.94,3556.83,0.24,0,-0.11518778994624405,-0.8109390886392606
Germany,2009,8538.32,22329.78,77.56,66.67,34.5,24.6,3593.62,0.35,0,0.2080724015553513,-0.2775923052694364
Japan,2016,3486.74,31130.91,58.63,25.1,38.16,39.36,3980.45,0.29,2,-0.3388446561116653,0.072455047386605
USA,2013,3419.35,45025.39,84.4,20.76,41.88,23.18,1381.78,0.27,1,-1.7062487433165785,0.4674611821281849
Russia,2021,9856.85,16852.23,55.14,39.93,25.13,35.3,2111.78,0.49,2,1.310480102053408,0.9148024117787685
Canada,2003,5266.15,42574.23,25.45,36.86,27.22,39.04,1236.56,0.06,0,-0.3085203730572974,-0.07084899560224982
China,2018,1492.88,5127.21,23.34,78.61,53.3,10.67,1577.48,0.24,1,-0.28838581258838053,-0.6584395140656525
Russia,2001,2274.78,2572.8,52.25,41.94,38.39,13.16,4844.12,0.47,1,0.4574574771925102,-0.07114740593306615
USA,2006,4871.25,25450.24,82.05,70.27,34.21,20.44,2255.99,0.47,1,-0.9985134245738191,0.6001822042139173
